"Cod.Cliente","Nome Cliente","Cidade","Estado"
"80380","MUNDIALMIX COMERCIO DE ALIMENTOS LTDA","PALHOCA","SC"
"73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE"
"73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE"
"73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE"
"73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE"
"73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE"
"73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE"
"79757","SUPERMERCADOS BH COMERCIO DE ALIMENTOS S/A","VILA VELHA","ES"
"79757","SUPERMERCADOS BH COMERCIO DE ALIMENTOS S/A","VILA VELHA","ES"
"73716","TALIS CLEI PANDOLFI","JOAO NEIVA","ES"
"30563","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO JOSE DOS CAMPOS","SP"
"30563","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO JOSE DOS CAMPOS","SP"
"77796","DISTRIBUICAO DE ALIMENTOS VANGUARDA S.A","ALTOS","PI"
"78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ"
"78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ"
"78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ"
"78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ"
"78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ"
"78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ"
"78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ"
"78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ"
"78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ"
"80380","MUNDIALMIX COMERCIO DE ALIMENTOS LTDA","PALHOCA","SC"
"80179","KOCH HIPERMERCADO S/A","JOINVILLE","SC"
"77300","NOVO ATACADO COMERCIO DE ALIMENTOS LTDA","RECIFE","PE"
"77300","NOVO ATACADO COMERCIO DE ALIMENTOS LTDA","RECIFE","PE"
"77300","NOVO ATACADO COMERCIO DE ALIMENTOS LTDA","RECIFE","PE"
"77300","NOVO ATACADO COMERCIO DE ALIMENTOS LTDA","RECIFE","PE"
"77300","NOVO ATACADO COMERCIO DE ALIMENTOS LTDA","RECIFE","PE"
"77300","NOVO ATACADO COMERCIO DE ALIMENTOS LTDA","RECIFE","PE"
"77300","NOVO ATACADO COMERCIO DE ALIMENTOS LTDA","RECIFE","PE"
"77300","NOVO ATACADO COMERCIO DE ALIMENTOS LTDA","RECIFE","PE"
"77300","NOVO ATACADO COMERCIO DE ALIMENTOS LTDA","RECIFE","PE"
"77300","NOVO ATACADO COMERCIO DE ALIMENTOS LTDA","RECIFE","PE"
"60450","SENDAS DISTRIBUIDORA S/A","SAO PAULO","SP"
"79865","COVABRA SUPERMERCADOS LTDA","RIO CLARO","SP"
"80643","RMC COMERCIAL DE ALIMENTOS LTDA","NAZARIA","PI"
"50696","LUIZ GUEDES SOBRINHO LTDA","PATOS","PB"
"78609","COMERCIAL ZAFFARI LTDA","NOVO HAMBURGO","RS"
"77743","MATEUS SUPERMERCADOS S.A","BARREIRINHAS","MA"
"71189","L P MOREIRA MERCEARIA LTDA ME","BARRA DO PIRAI","RJ"
"80255","COMERCIAL NIQUINI RIBEIRO LTDA","MEDEIROS NETO","BA"
"53238","MAGAZINE BRAGA LTDA","VIRMOND","PR"
"53238","MAGAZINE BRAGA LTDA","VIRMOND","PR"
"46702","ANTONIA DA SILVA PEREIRA","BOA VISTA","RR"
"80276","MERCADO SUPER 2 LTDA","BELFORD ROXO","RJ"
"80276","MERCADO SUPER 2 LTDA","BELFORD ROXO","RJ"
"76663","WMS SUPEMERCADOS DO BRASIL LTDA","CURITIBA","PR"
"66366","ATACADAO S.A.","SERRA TALHADA","PE"
"78639","GARGANO COMERCIO DE PEIXES LTDA ME","GOIANIA","GO"
"75660","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"75660","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"75660","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"75660","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"79618","MV COMERCIO ATACADISTA E VAREJISTA DE ALIMENTOS LTDA","JOINVILLE","SC"
"79618","MV COMERCIO ATACADISTA E VAREJISTA DE ALIMENTOS LTDA","JOINVILLE","SC"
"79356","ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA","FORTALEZA","CE"
"79356","ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA","FORTALEZA","CE"
"79075","P C DA SILVA JUNIOR SUPERMERCADO","FRANCA","SP"
