"Data","Nr.Chamado","Cod.Cliente","Nome Cliente","Cidade","Estado","Nr.Série","Item","Dt.Fabricação","Dt.Emissão NF","Tipo","Causa","Observação"
"1/2/2025","30480","80380","MUNDIALMIX COMERCIO DE ALIMENTOS LTDA","PALHOCA","SC","1490924048924","F01 ICFD CS 2,50","10/22/2024","11/22/2024","Garantia","Refrigeração","NÃO REFRIGERA"
"1/2/2025","30482","73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE","1450622003723","F01 ICFD CS 1,85","7/13/2022","7/20/2022","Garantia Estendida","Refrigeração","EM CURTO"
"1/2/2025","30482","73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE","1490622191123","F01 ICFD CS 2,50","7/15/2022","7/20/2022","Garantia Estendida","Refrigeração","DESARMANDO DJUNTOR"
"1/2/2025","30482","73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE","1490622191623","F01 ICFD CS 2,50","7/15/2022","7/20/2022","Garantia Estendida","Refrigeração","NÃO REFRIGERA"
"1/2/2025","30482","73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE","1490622190023","F01 ICFD CS 2,50","7/15/2022","7/20/2022","Garantia Estendida","Refrigeração","CONTROLADOR QUEIMADO"
"1/2/2025","30482","73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE","1490622188123","F01 ICFD CS 2,50","7/12/2022","7/20/2022","Garantia Estendida","Refrigeração","DESRREGULADO A PROGRAMAÇÃO DE DE GELO."
"1/2/2025","30482","73926","SENDAS DISTRIBUIDORA S.A","FORTALEZA","CE","1490622190723","F01 ICFD CS 2,50","7/14/2022","7/20/2022","Garantia Estendida","Refrigeração","DESARMANDO DISJUNTOR"
"1/2/2025","30484","79757","SUPERMERCADOS BH COMERCIO DE ALIMENTOS S/A","VILA VELHA","ES","1471024000324","F01 ICFD CS 2,10","11/12/2024","11/12/2024","Garantia","Iluminação","LED QUEIMADA"
"1/2/2025","30484","79757","SUPERMERCADOS BH COMERCIO DE ALIMENTOS S/A","VILA VELHA","ES","1411024001024","F01 ICFD TS 1,85","11/12/2024","11/12/2024","Garantia","Refrigeração","NÃO REFRIGERA"
"1/2/2025","30485","73716","TALIS CLEI PANDOLFI","JOAO NEIVA","ES","1410724014024","F01 ICFD TS 1,85","8/28/2024","9/4/2024","Garantia","Estrutura","VAZANDO ÁGUA"
"1/2/2025","30486","30563","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO JOSE DOS CAMPOS","SP","1471124047622","F01 ICFD CS 2,10","12/13/2024","11/13/2024","Garantia","Iluminação","LED QUEIMADA"
"1/2/2025","30486","30563","CARREFOUR COMERCIO E INDUSTRIA LTDA","SAO JOSE DOS CAMPOS","SP","1470924108122","F01 ICFD CS 2,10","10/30/2024","11/13/2024","Garantia","Refrigeração","NÃO REFRIGERA"
"1/2/2025","30487","77796","DISTRIBUICAO DE ALIMENTOS VANGUARDA S.A","ALTOS","PI","1501223007225","F01 ICFD CV 2,50","1/17/2024","3/22/2024","Fora Garantia","Refrigeração","NÃO REFRIGERA"
"1/3/2025","30488","78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ","1500324001025","F01 ICFD CV 2,50","4/24/2024","4/3/2025","Garantia","Refrigeração","NÃO REFRIGERA"
"1/3/2025","30488","78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ","1420324004725","F01 ICFD TV 1,85","4/24/2024","4/3/2025","Garantia","Refrigeração","NÃO REFRIGERA"
"1/3/2025","30488","78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ","1500324002325","F01 ICFD CV 2,50","4/26/2024","4/3/2025","Garantia","Estrutura","VIDRO CONDENSANDO"
"1/3/2025","30488","78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ","1500324002125","F01 ICFD CV 2,50","4/25/2024","4/3/2025","Garantia","Estrutura","VIDRO CONDENSANDO"
"1/3/2025","30488","78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ","1420324004325","F01 ICFD TV 1,85","4/24/2024","4/3/2025","Garantia","Refrigeração","NÃO REFRIGERA"
"1/3/2025","30488","78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ","1500324002225","F01 ICFD CV 2,50","4/26/2024","4/3/2025","Garantia","Estrutura","VIDRO CONDENSANDO"
"1/3/2025","30488","78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ","1420324004925","F01 ICFD TV 1,85","4/25/2024","4/3/2025","Garantia","Estrutura","VIDRO CONDENSANDO"
"1/3/2025","30488","78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ","1500324001925","F01 ICFD CV 2,50","4/26/2024","4/3/2025","Garantia","Estrutura","VIDRO CONDENSANDO"
"1/3/2025","30488","78658","SUPERMERCADO JPA LTDA","RIO DE JANEIRO","RJ","1500225002024","F01 ICFD CV 2,50","3/13/2025","4/3/2025","Garantia","Refrigeração","NÃO REFRIGERA"
"1/3/2025","30490","80380","MUNDIALMIX COMERCIO DE ALIMENTOS LTDA","PALHOCA","SC","1490924046824","F01 ICFD CS 2,50","10/22/2024","11/22/2024","Garantia","Refrigeração","NÃO REFRIGERA (-14°C)"
